OS;CLIENTE;PRODUTO;QTDE;LANÇAMENTO;ENTREGA;STATUS;OBSERVAÇÃO DA ÚLTIMA REUNIÃO SEMANAL
4855;ARCELOR-MITTAL TUBARÃO;CHAVE CE-81;3;07/08/2026;02/11/2026;EM PRODUÇÃO;ENTREGUE A PRODUÇÃO EM 12/08
4839;GERDAU SANTA CRUZ;REPARO EM COLETOR;1;11/08/2026;16/10/2026;EM PRODUÇÃO;ENTREGUE A PRODUÇÃO EM 12/08
1025;ARCELOR MITTAL BARRA MANSA;CONJ. PLUGUE MACHO E FEMEA SN 1604;1;11/08/2026;11/10/2026;EM PRODUÇÃO;AGUARDANDO CABO
1026;EMH ELETROMECÂNICA E HIDRAULICA;CHAVE UM 1686 J;1;11/08/2026;23/10/2026;EM PRODUÇÃO;PRODUÇÃO SOB SUPERVIÇÃO DO DEP. TEC. / POSSIBILIDADE DE ANTECIPAÇÃO
4849;TERNIUM;CHAVE CENTRIFUGA CF-93ST;1;03/08/2026;27/09/2026;EM PRODUÇÃO;EM FASE DE COMPRA
4858;ARCELOR-MITTAL TUBARÃO;CHAVE CAC-61;1;14/08/2026;11/11/2026;REVISÃO DEP TEC;
4859;ARCELOR-MITTAL TUBARÃO;CHAVE CAC-61;1;18/08/2026;12/11/2026;REVISÃO DEP TEC;
4861;ARCELOR-MITTAL TUBARÃO;CHAVE CE-81;1;19/08/2026;12/11/2026;REVISÃO DEP TEC;
1028;ASVOTEC TERMOINDUSTRIAL LTDA;CHAVE LIMITE FIM DE CURSO LFC-110;2;26/08/2026;09/10/2026;REVISÃO DEP TEC;
4863;ARCELOR-MITTAL TUBARÃO;CHAVE LIMITE FIM DE CURSO LFC-110 COM MICRO;1;26/08/2026;28/10/2026;REVISÃO DEP TEC;
4864;ARCELOR-MITTAL TUBARÃO;CHAVE CE-81;4;26/08/2026;22/11/2026;REVISÃO DEP TEC;
199;FOR-QUOTE;SAPATA COLETORA PARA PANTÓGRAFO CT 2748 REF ELEVOLT CT-1868;7;26/08/2026;23/09/2026;REVISÃO DEP TEC;
